"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1996",7,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): J. Financial intermediation","1996",634,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","1996",1452,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","1996",11,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1995",4821,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","1995",1995,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1995",4821,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Manufacturing","1995",2325,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","1995",1995,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1995",4821,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1995",2325,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): J. Financial intermediation","1995",501,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","1995",1995,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1994",914,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1994",914,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1994",914,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): H. Hotels and restaurants","1994",33,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1994",38,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","1994",844,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1993",988,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1993",988,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1993",988,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1993",957,,,"Remarks: Computed on the basis of an eight-hour working day",
