"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1995",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1994",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1994",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1993",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1993",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1992",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1992",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1991",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1991",0,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1990",0.128,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Non-agriculture","1990",0.128,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Industry","1990",0.128,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1990",0.128,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Construction","1990",0.128,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1989",0.029,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Non-agriculture","1989",0.029,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Services","1989",0.029,,,,
"Anguilla","Other - Other Official Sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1989",0.029,,,,
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","2000",3.877,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","2000",3.877,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","2000",3.877,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","2000",1.35,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","2000",0.725,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): L. Public administration and defence; compulsory social security","2000",1.43,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): N. Health and social work","2000",0.36,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","2000",0.012,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1999",3.134,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Services","1999",2.659,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1999",3.134,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Construction","1999",0.06,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services","1999",0.525,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities","1999",2.134,,,,"Geographical coverage: Main city or metropolitan area"
